date,doses_shipped,cumulative_doses_shipped,doses_delivered,cumulative_doses_delivered,cdc_pharmacy_doses_delivered,cumulative_cdc_pharmacy_doses_delivered,doses_on_hand,pfizer_doses_shipped,cumulative_pfizer_doses_shipped,pfizer_doses_delivered,cumulative_pfizer_doses_delivered,pfizer_doses_on_hand,moderna_doses_shipped,cumulative_moderna_doses_shipped,moderna_doses_delivered,cumulative_moderna_doses_delivered,moderna_doses_on_hand,jj_doses_shipped,cumulative_jj_doses_shipped,jj_doses_delivered,cumulative_jj_doses_delivered,jj_doses_on_hand
2021-05-26,402450,46139465,250680,45651260.0,188180,10949920.0,7934357,375570,24739065,0,24332100.0,3884191,23280,18865100,238680,18788360.0,3076718,3600,2535300,12000,2530800.0,973448
2021-05-25,259040,45737015,28090,45400580.0,25720,10761740.0,8002588,0,24363495,1170,24332100.0,3887038,247040,18841820,26420,18549680.0,3122826,12000,2531700,500,2518800.0,992724
2021-05-24,50320,45477975,253410,45372490.0,73640,10736020.0,8054465,23400,24363495,207090,24330930.0,3905360,26420,18594780,44720,18523260.0,3147866,500,2519700,1600,2518300.0,1001239
2021-05-23,46220,45427655,0,45119080.0,0,10662380.0,8133924,0,24340095,0,24123840.0,3942364,44620,18568360,0,18478540.0,3188580,1600,2519200,0,2516700.0,1002980
2021-05-22,0,45381435,0,45119080.0,0,10662380.0,8175204,0,24340095,0,24123840.0,3935865,0,18523740,0,18478540.0,3228970,0,2517600,0,2516700.0,1010369
2021-05-21,208260,45381435,297640,45119080.0,271780,10662380.0,8074442,208260,24340095,271440,24123840.0,3836285,0,18523740,24000,18478540.0,3217800,0,2517600,2200,2516700.0,1020357
2021-05-20,297540,45173175,292430,44821440.0,291930,10390600.0,8049484,271440,24131835,204750,23852400.0,4041069,24000,18523740,78980,18454540.0,2995267,2100,2517600,8700,2514500.0,1013148
2021-05-19,292530,44875635,305990,44529010.0,305990,10098670.0,8089485,204750,23860395,3510,23647650.0,4049752,78980,18499740,285380,18375560.0,3023120,8800,2515500,17100,2505800.0,1016613
2021-05-18,306090,44583105,308510,44223020.0,26850,9792680.0,7908736,3510,23655645,293670,23644140.0,3861503,285380,18420760,14140,18090180.0,3025905,17200,2506700,700,2488700.0,1021328
2021-05-17,309380,44277015,769810,43914510.0,39450,9765830.0,7810288,294840,23652135,445770,23350470.0,3808559,13840,18135380,306940,18076040.0,2996444,700,2489500,17100,2488000.0,1005285
2021-05-16,325940,43967635,0,43144700.0,0,9726380.0,7914955,0,23357295,0,22904700.0,3880432,308840,18121540,0,17769100.0,3023629,17100,2488800,0,2470900.0,1010894
2021-05-15,431730,43641695,0,43144700.0,0,9726380.0,7995354,431730,23357295,0,22904700.0,3988092,0,17812700,0,17769100.0,2989226,0,2471700,0,2470900.0,1018036
2021-05-14,12870,43209965,265220,43144700.0,257030,9726380.0,7784086,12870,22925565,198900,22904700.0,3792794,0,17812700,66220,17769100.0,2978178,0,2471700,100,2470900.0,1013114
2021-05-13,265220,43197095,519700,42879480.0,210670,9469350.0,7603221,198900,22912695,411840,22705800.0,3729379,66220,17812700,92060,17702880.0,2859505,100,2471700,15800,2470800.0,1014337
2021-05-12,519700,42931875,270460,42359780.0,101260,9258680.0,7603221,411840,22713795,0,22293960.0,3729379,92060,17746480,259960,17610820.0,2859505,15800,2471600,10500,2455000.0,1014337
2021-05-11,272420,42412175,161590,42089320.0,142350,9157420.0,7409573,0,22301955,139230,22293960.0,3575439,261920,17654420,21660,17350860.0,2821399,10500,2455800,700,2444500.0,1012735
2021-05-10,161590,42139755,985750,41927730.0,44320,9015070.0,7111071,139230,22301955,696150,22154730.0,3353601,21660,17392500,262400,17329200.0,2751969,700,2445300,27200,2443800.0,1005501
2021-05-09,289600,41978165,0,40941980.0,0,8970750.0,7236108,0,22162725,0,21458580.0,3467236,262400,17370840,0,17066800.0,2767672,27200,2444600,0,2416600.0,1001200
2021-05-08,553410,41688565,140,40941980.0,140,8970750.0,7284646,553410,22162725,0,21458580.0,3523064,0,17108440,140,17066800.0,2743897,0,2417400,0,2416600.0,1017685
2021-05-07,143440,41135155,379900,40941840.0,282450,8970610.0,7045520,142740,21609315,238680,21458580.0,3334439,700,17108440,138120,17066660.0,2720824,0,2417400,3100,2416600.0,990257
2021-05-06,380080,40991715,619750,40561940.0,274970,8688160.0,6972818,238680,21466575,469170,21219900.0,3292615,138300,17107740,131580,16928540.0,2702031,3100,2417400,19000,2413500.0,978172
2021-05-05,619750,40611635,326960,39942190.0,122560,8413190.0,7074883,469170,21227895,0,20750730.0,3472658,131580,16969440,285660,16796960.0,2644852,19000,2414300,41300,2394500.0,957373
2021-05-04,327360,39991885,152070,39615230.0,31240,8290630.0,6946033,0,20758725,118170,20750730.0,3334063,286060,16837860,23500,16511300.0,2670303,41300,2395300,10400,2353200.0,941667
2021-05-03,152270,39664525,902940,39463160.0,42170,8259390.0,6667154,118170,20758725,634140,20632560.0,3181754,23700,16551800,247200,16487800.0,2545326,10400,2354000,21600,2342800.0,940074
2021-05-02,268800,39512255,100,38560220.0,0,8217220.0,6812594,0,20640555,0,19998420.0,3257056,247300,16528100,100,16240600.0,2610346,21500,2343600,0,2321200.0,945192
2021-05-01,614250,39243455,0,38560120.0,0,8217220.0,6795588,614250,20640555,0,19998420.0,3252800,0,16280800,0,16240500.0,2626631,0,2322100,0,2321200.0,916157
2021-04-30,19890,38629205,711580,38560120.0,296140,8217220.0,6559673,19890,20026305,332280,19998420.0,3085702,0,16280800,302300,16240500.0,2584438,0,2322100,77000,2321200.0,889533
2021-04-29,713780,38609315,347260,37848540.0,307560,7921080.0,6409022,332280,20006415,266760,19666140.0,3118601,304400,16280800,48300,15938200.0,2402282,77100,2322100,32200,2244200.0,888139
2021-04-28,348360,37895535,613390,37501280.0,268900,7613520.0,6520032,266760,19674135,277290,19399380.0,3324920,48600,15976400,329700,15889900.0,2312188,33000,2245000,6400,2212000.0,882924
2021-04-27,612890,37547175,343430,36887890.0,64440,7344620.0,6104417,277290,19407375,45630,19122090.0,3054799,330000,15927800,295200,15560200.0,2181862,5600,2212000,2600,2205600.0,867756
2021-04-26,340660,36934285,1485550,36544460.0,32860,7280180.0,5634821,44460,19130085,1082250,19076460.0,2692538,293600,15597800,403300,15265000.0,2079356,2600,2206400,0,2203000.0,862927
2021-04-25,403900,36593625,0,35058910.0,0,7247320.0,5835302,0,19085625,0,17994210.0,2778917,403900,15304200,0,14861700.0,2196051,0,2203800,0,2203000.0,860334
2021-04-24,966420,36189725,6050,35058910.0,5950,7247320.0,5886876,966420,19085625,5850,17994210.0,2794858,0,14900300,200,14861700.0,2240636,0,2203800,0,2203000.0,851382
2021-04-23,117000,35223305,582260,35052860.0,300820,7241370.0,6043528,117000,18119205,372060,17988360.0,2788055,0,14900300,210200,14861500.0,2296419,0,2203800,0,2203000.0,959054
2021-04-22,589410,35106305,456960,34470600.0,280260,6940550.0,5763325,377910,18002205,313560,17616300.0,2753724,211500,14900300,143400,14651300.0,2148740,0,2203800,0,2203000.0,860861
2021-04-21,454760,34516895,623910,34013640.0,289040,6660290.0,5681682,313560,17624295,260910,17302740.0,2721685,141200,14688800,363000,14507900.0,2106262,0,2203800,0,2203000.0,853735
2021-04-20,642590,34062135,606060,33389730.0,32640,6371250.0,5379490,277290,17310735,196560,17041830.0,2568460,365300,14547600,409500,14144900.0,1971883,0,2203800,0,2203000.0,839147
2021-04-19,587340,33419545,1157680,32783670.0,111650,6338610.0,5118348,177840,17033445,765180,16845270.0,2297754,409500,14182300,392500,13735400.0,1917500,0,2203800,0,2203000.0,903094
2021-04-18,392700,32832205,0,31625990.0,0,6226960.0,5260122,0,16855605,0,16080090.0,2398162,392700,13772800,0,13342900.0,1959008,0,2203800,0,2203000.0,902952
2021-04-17,724230,32439505,0,31625990.0,0,6226960.0,5136315,724230,16855605,0,16080090.0,2302201,0,13380100,0,13342900.0,1934424,0,2203800,0,2203000.0,899690
2021-04-16,43290,31715275,655190,31625990.0,442920,6226960.0,5139488,43290,16131375,546390,16080090.0,2291760,0,13380100,108800,13342900.0,1950791,0,2203800,0,2203000.0,896937
2021-04-15,655390,31671985,520160,30970800.0,275560,5784040.0,5081457,546390,16088085,301860,15533700.0,2298482,109000,13380100,218200,13234100.0,1891367,0,2203800,100,2203000.0,891608
2021-04-14,520160,31016595,562610,30450640.0,145900,5508480.0,4903809,301860,15541695,284310,15231840.0,2242036,218300,13271100,278300,13015900.0,1789944,0,2203800,0,2202900.0,871829
2021-04-13,574310,30496435,1088960,29888030.0,44240,5362580.0,4739890,296010,15239835,524160,14947530.0,2258580,278300,13052800,546000,12737600.0,1645032,0,2203800,18800,2202900.0,836278
2021-04-12,1076290,29922125,677370,28799070.0,18540,5318340.0,4592908,511290,14943825,398970,14423370.0,2167374,546000,12774500,134300,12191600.0,1711854,19000,2203800,144100,2184100.0,713680
2021-04-11,278300,28845835,0,28121700.0,0,5299800.0,4923283,0,14432535,0,14024400.0,2421135,134200,12228500,0,12057300.0,1772594,144100,2184800,0,2040000.0,729554
