,county,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,est_population,california_flag
0,Alameda,7/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656591.00,
1,Alameda,7/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656591.00,
2,Alameda,7/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656591.00,
3,Alameda,7/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656591.00,
4,Alameda,7/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656591.00,
5,Alameda,8/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656591.00,
6,Alameda,8/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656591.00,
7,Alameda,8/3/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656591.00,
8,Alameda,8/4/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656591.00,
9,Alameda,8/5/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656591.00,
10,Alameda,8/6/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656591.00,
11,Alameda,8/7/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656591.00,
12,Alameda,8/8/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656591.00,
13,Alameda,8/9/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656591.00,
14,Alameda,8/11/2020,0,4,0,4,0,0,0,0,0,4,0,0,0,4,1656591.00,
15,Alameda,8/16/2020,0,9,0,8,0,1,0,0,0,9,0,0,0,9,1656591.00,
16,Alameda,8/22/2020,0,18,0,17,0,1,0,0,0,18,0,0,0,18,1656591.00,
17,Alameda,8/23/2020,0,18,0,17,0,1,0,0,0,18,0,0,0,18,1656591.00,
18,Alameda,8/24/2020,0,18,0,17,0,1,0,0,0,18,0,0,0,18,1656591.00,
19,Alameda,8/29/2020,0,26,0,24,0,2,0,0,0,26,0,0,0,26,1656591.00,
20,Alameda,8/30/2020,0,26,0,24,0,2,0,0,0,26,0,0,0,26,1656591.00,
21,Alameda,9/5/2020,0,40,0,37,0,3,0,0,0,22,0,9,0,31,1656591.00,
